"County FIPS","County Name","Year","Household Type","Age Group","Total Households","Data Type"
"0","Colorado","2010","All Households","Age 65+","356,158","Estimate"
"0","Colorado","2011","All Households","Age 65+","372,285","Estimate"
"0","Colorado","2012","All Households","Age 65+","394,965","Estimate"
"0","Colorado","2013","All Households","Age 65+","415,553","Estimate"
"0","Colorado","2014","All Households","Age 65+","435,694","Estimate"
"0","Colorado","2015","All Households","Age 65+","455,922","Estimate"
"0","Colorado","2016","All Households","Age 65+","475,534","Estimate"
"0","Colorado","2017","All Households","Age 65+","495,910","Estimate"
"0","Colorado","2018","All Households","Age 65+","517,423","Estimate"
"0","Colorado","2019","All Households","Age 65+","538,849","Estimate"
"0","Colorado","2020","All Households","Age 65+","559,509","Estimate"
"0","Colorado","2021","All Households","Age 65+","581,720","Estimate"
"0","Colorado","2022","All Households","Age 65+","602,825","Estimate"
"0","Colorado","2023","All Households","Age 65+","625,963","Estimate"
"0","Colorado","2024","All Households","Age 65+","647,492","Estimate"
"0","Colorado","2025","All Households","Age 65+","669,596","Estimate"
"0","Colorado","2026","All Households","Age 65+","686,825","Estimate"
"0","Colorado","2027","All Households","Age 65+","703,862","Estimate"
"0","Colorado","2028","All Households","Age 65+","719,807","Estimate"
"0","Colorado","2029","All Households","Age 65+","734,163","Estimate"
"0","Colorado","2030","All Households","Age 65+","747,924","Estimate"
"0","Colorado","2031","All Households","Age 65+","758,612","Estimate"
"0","Colorado","2032","All Households","Age 65+","768,382","Estimate"
"0","Colorado","2033","All Households","Age 65+","778,256","Estimate"
"0","Colorado","2034","All Households","Age 65+","789,562","Estimate"
"0","Colorado","2035","All Households","Age 65+","803,624","Estimate"
"0","Colorado","2036","All Households","Age 65+","816,489","Estimate"
"0","Colorado","2037","All Households","Age 65+","826,869","Estimate"
"0","Colorado","2038","All Households","Age 65+","835,139","Estimate"
"0","Colorado","2039","All Households","Age 65+","842,855","Estimate"
"0","Colorado","2040","All Households","Age 65+","851,875","Estimate"
"0","Colorado","2041","All Households","Age 65+","860,145","Estimate"
"0","Colorado","2042","All Households","Age 65+","869,495","Estimate"
"0","Colorado","2043","All Households","Age 65+","879,112","Estimate"
"0","Colorado","2044","All Households","Age 65+","889,150","Estimate"
"0","Colorado","2045","All Households","Age 65+","902,046","Estimate"
"0","Colorado","2046","All Households","Age 65+","914,914","Estimate"
"0","Colorado","2047","All Households","Age 65+","927,331","Estimate"
"0","Colorado","2048","All Households","Age 65+","940,420","Estimate"
"0","Colorado","2049","All Households","Age 65+","954,138","Estimate"
"0","Colorado","2050","All Households","Age 65+","968,886","Estimate"
"1","Adams County","2010","All Households","Age 65+","23,069","Estimate"
"1","Adams County","2011","All Households","Age 65+","23,911","Estimate"
"1","Adams County","2012","All Households","Age 65+","25,244","Estimate"
"1","Adams County","2013","All Households","Age 65+","26,594","Estimate"
"1","Adams County","2014","All Households","Age 65+","27,898","Estimate"
"1","Adams County","2015","All Households","Age 65+","29,133","Estimate"
"1","Adams County","2016","All Households","Age 65+","30,256","Estimate"
"1","Adams County","2017","All Households","Age 65+","31,481","Estimate"
"1","Adams County","2018","All Households","Age 65+","32,818","Estimate"
"1","Adams County","2019","All Households","Age 65+","34,065","Estimate"
"1","Adams County","2020","All Households","Age 65+","35,398","Estimate"
"1","Adams County","2021","All Households","Age 65+","37,082","Estimate"
"1","Adams County","2022","All Households","Age 65+","38,741","Estimate"
"1","Adams County","2023","All Households","Age 65+","40,428","Estimate"
"1","Adams County","2024","All Households","Age 65+","42,161","Estimate"
"1","Adams County","2025","All Households","Age 65+","44,139","Estimate"
"1","Adams County","2026","All Households","Age 65+","45,682","Estimate"
"1","Adams County","2027","All Households","Age 65+","47,238","Estimate"
"1","Adams County","2028","All Households","Age 65+","48,675","Estimate"
"1","Adams County","2029","All Households","Age 65+","49,910","Estimate"
"1","Adams County","2030","All Households","Age 65+","51,089","Estimate"
"1","Adams County","2031","All Households","Age 65+","52,056","Estimate"
